Drift_Type,Environment,IR,Detector,gmean,mtd,mtfa,mtr
sudden,Synthetic,1:90,D3,75.78,99.0,73706.96,744.51
sudden,Synthetic,1:90,DDM,72.71,113.4,31676.59,265.3
sudden,Synthetic,1:90,KSWIN,67.98,94.95,7945.76,97.08
sudden,Synthetic,1:90,PH,59.06,352.5,2258.79,12.95
sudden,Real-World,8.7,DDM,56.39,413.75,13600.77,26.29
sudden,Real-World,8.7,PH,53.16,295.8,2742.6,9.27
sudden,Real-World,8.7,D3,55.46,120.4,17733.65,147.28
sudden,Real-World,8.7,KSWIN,55.85,829.0,19599.33,14.18
sudden,Real-World,8.7,ADWIN,54.65,96.25,4608.96,38.3
sudden,Real-World,8.7,AEDD,54.93,536.75,5044.69,7.51
gradual,Real-World,8.7,DDM,52.09,2001.0,5512.42,0.16
gradual,Real-World,8.7,PH,54.43,2001.0,2605.87,0.72
gradual,Real-World,8.7,D3,50.5,2001.0,23887.17,0.85
gradual,Real-World,8.7,KSWIN,50.91,2001.0,20474.71,66.87
gradual,Real-World,8.7,ADWIN,53.85,2001.0,3412.45,1.22
gradual,Real-World,8.7,AEDD,55.18,2001.0,6228.14,0.49
